OBJECTID,FID_J26E9A6B5ECFE4F988DA8AC7353,GEOID10,,CT10,Fips1,Fips,City,treecanopy,CTBG10,AreaSqMil,LABEL,FIP10,FIP10RV,CDP_NAME,CITYNAME,Common Name,,Shape__Area,Shape__Length,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_Pv_P,TC_P_P,TC_Pi_P,FID_L7City_Boundary,CITY,AnalysisArea
19,44,60372965001,6037,296500,6037296500,06037296500,San Pedro,12.45807238,2965001,0.12,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,44,450607.6914,3155.085125,416798.4375,831192.1875,3345609.375,736987.5,1568179.688,24.84426884,46.87276701,22.02849817,1,IN,0.11997549
20,45,60372764003,6037,276400,6037276400,06037276400,Westchester,21.16547364,2764003,0.1025,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,45,387075.9961,2794.893201,604996.875,640856.25,2858414.063,453403.125,1094259.375,22.4199936,38.28204561,15.862052,1,IN,0.10254512
21,46,60372764004,6037,276400,6037276400,06037276400,Westchester,18.13903456,2764004,0.0939,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,46,354292.9805,2924.944921,474257.8125,614151.5625,2614570.313,379504.6875,993656.25,23.48957913,38.00457174,14.5149926,1,IN,0.09386569
22,47,60372766011,6037,276601,6037276601,06037276601,Westchester,11.47992508,2766011,0.5584,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,47,2107896.078,7870.016629,1743721.875,9477871.875,15189314.06,1364751.563,10842623.44,62.39828761,71.38323293,8.98494532,1,IN,0.55840037
23,48,60372765002,6037,276500,6037276500,06037276500,Westchester,19.87241335,2765002,0.1751,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,48,661008.5156,3927.879043,970312.5,1527117.188,4882710.938,784251.5625,2311368.75,31.27601054,47.33781663,16.06180609,1,IN,0.17510559
24,49,60372770002,6037,277000,6037277000,06037277000,Westchester,18.72273002,2770002,0.1267,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,49,478130,2826.647148,661359.375,763537.5,3532387.5,589471.875,1353009.375,21.61533807,38.30297143,16.68763336,1,IN,0.12667383
25,50,60372912201,6037,291220,6037291220,06037291220,Harbor Gateway,9.74499859,2912201,0.0358,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,50,134963.332,2085.170385,97270.3125,141103.125,998156.25,212681.25,353784.375,14.13637644,35.44378698,21.30741054,1,IN,0.03579974
26,51,60372941203,6037,294120,6037294120,06037294120,Wilmington,3.122484,2941203,0.2337,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Wilmington,51,878582.3281,3947.322069,203428.125,341746.875,6514945.313,4321167.188,4662914.063,5.24558317,71.57257412,66.32699095,1,IN,0.23366358
27,53,60372912101,6037,291210,6037291210,06037291210,Harbor Gateway,9.53402592,2912101,0.1491,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,53,561640.4688,4557.366636,396196.875,835537.5,4155609.375,1026928.125,1862465.625,20.10625698,44.81811106,24.71185408,1,IN,0.14904961
28,71,60371065201,6037,106520,6037106520,06037106520,Sylmar,24.37713529,1065201,0.2736,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Sylmar,71,1041219.547,5159.050547,1859273.438,1723992.188,7627120.313,1679062.5,3403054.688,22.60344818,44.61781836,22.01437018,1,IN,0.27361098
29,76,60375410011,6037,541001,6037541001,06037541001,Rosewood/West Rancho Dominguez,3.66775314,5410011,1.0076,BG 1,84780,99037,West Rancho Dominguez,Unincorporated,LA County - Rosewood/West Rancho Dominguez,76,3796834.453,7916.896615,1030317.188,1660443.75,28091235.94,12751818.75,14412262.5,5.91089603,51.30519188,45.39429585,1,IN,0.00489185
30,79,60375436031,6037,543603,6037543603,06037543603,West Carson,6.76634361,5436031,0.2867,BG 1,84144,99037,West Carson,Unincorporated,LA County - West Carson,79,1077883.176,4800.670201,539985.9375,1960031.25,7980468.75,1860412.5,3820443.75,24.56035242,47.87242291,23.31207048,1,IN,0.00103995
31,86,60372764002,6037,276400,6037276400,06037276400,Westchester,22.44400377,2764002,0.1086,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,86,409990.5977,2962.480396,679612.5,730068.75,3028035.938,379856.25,1109925,24.11030665,36.65494806,12.54464141,1,IN,0.10860315
32,87,60372766013,6037,276601,6037276601,06037276601,Westchester,22.30377658,2766013,0.0692,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,87,261062.6484,2631.14579,429454.6875,287198.4375,1925479.688,263475,550673.4375,14.91568254,28.59928573,13.68360319,1,IN,0.06916571
33,88,60372764005,6037,276400,6037276400,06037276400,Westchester,20.33556477,2764005,0.0712,BG 5,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,88,268659.668,2581.089323,404114.0625,502157.8125,1987228.125,252703.125,754860.9375,25.26925853,37.98562067,12.71636214,1,IN,0.07117119
34,89,60372761003,6037,276100,6037276100,06037276100,Inglewood,12.68389009,2761003,0.1196,BG 3,36546,36546,Inglewood,Inglewood,City of Inglewood,89,451731.3086,5283.847698,423632.8125,661598.4375,3339928.125,797653.125,1459251.563,19.80876273,43.69110675,23.88234402,1,IN,0.11893986
35,90,60372051201,6037,205120,6037205120,06037205120,Boyle Heights,9.12622289,2051201,0.1265,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Boyle Heights,90,478016.168,3094.919065,321792.1875,319584.375,3526017.188,1122623.438,1442207.813,9.06360797,40.901894,31.83828603,1,IN,0.12647305
36,91,60372764001,6037,276400,6037276400,06037276400,Westchester,19.66283372,2764001,0.1165,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,91,439715.2813,3847.263012,638198.4375,1038810.938,3245709.375,389095.3125,1427906.25,32.0056671,43.99365701,11.98798991,1,IN,0.11646637
37,92,60372766012,6037,276601,6037276601,06037276601,Westchester,20.49226911,2766012,0.1118,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,92,421815.7266,3044.94319,638901.5625,581104.6875,3117768.75,466790.625,1047895.313,18.63847944,33.61042452,14.97194508,1,IN,0.11175486
38,93,60372761002,6037,276100,6037276100,06037276100,Westchester,16.22481824,2761002,0.126,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,93,475717.5313,3823.745048,569910.9375,267201.5625,3512587.5,1252125,1519326.563,7.60697242,43.25377126,35.64679883,1,IN,0.12066722
39,94,60372766014,6037,276601,6037276601,06037276601,Westchester,20.95803808,2766014,0.1254,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,94,473395.4102,3093.232497,732839.0625,733823.4375,3496696.875,478406.25,1212229.688,20.98618965,34.66785171,13.68166207,1,IN,0.12542582
40,95,60372765001,6037,276500,6037276500,06037276500,Westchester,21.91817662,2765001,0.2851,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,95,1076275.781,5117.299716,1742062.5,2049454.688,7948026.563,1530604.688,3580059.375,25.78570506,45.04337456,19.2576695,1,IN,0.28511207
41,96,60372760005,6037,276000,6037276000,06037276000,Westchester,17.63202412,2760005,0.1098,BG 5,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,96,414302.1992,2816.017593,539381.25,756239.0625,3059100,411581.25,1167820.313,24.72096573,38.17529053,13.4543248,1,IN,0.10975512
42,97,60372760004,6037,276000,6037276000,06037276000,Westchester,18.21462024,2760004,0.1567,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,97,591579.5938,3885.027529,795782.8125,1004526.563,4368923.438,762904.6875,1767431.25,22.99254214,40.45461715,17.462075,1,IN,0.15670865
43,98,60372760002,6037,276000,6037276000,06037276000,Westchester,26.37706205,2760002,0.153,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,98,577485.4531,3481.588355,1124718.75,1024706.25,4264003.125,540745.3125,1565451.563,24.03155485,36.71318985,12.681635,1,IN,0.1529623
44,128,60372017002,6037,201700,6037201700,06037201700,El Sereno,14.9230748,2017002,0.1828,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - El Sereno,128,691629.9375,5467.87122,760443.75,1549026.563,5095757.813,997214.0625,2546240.625,30.39835525,49.9678501,19.56949485,1,IN,0.18211793
45,132,60371091001,6037,109100,6037109100,06037109100,Mission Hills,14.96659145,1091001,0.2059,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Mission Hills,132,782794.1172,4421.348154,858979.6875,572118.75,5739314.063,1707032.813,2279151.563,9.96841685,39.71121876,29.74280191,1,IN,0.2058922
46,133,60371091002,6037,109100,6037109100,06037109100,Mission Hills,17.9662449,1091002,0.8394,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Mission Hills,133,3192298.699,8474.474895,4204364.063,9897510.938,23401462.5,4137468.75,14034979.69,42.29441189,59.97479725,17.68038536,1,IN,0.83949722
47,146,60375726003,6037,572600,6037572600,06037572600,Long Beach,14.79244959,5726003,0.1527,BG 3,43000,43000,Long Beach,Long Beach,City of Long Beach,146,574122.957,4201.907333,629367.1875,1416825,4254651.563,853003.125,2269828.125,33.30061179,53.34933053,20.04871874,1,IN,5.08E-06
48,183,60375723012,6037,572301,6037572301,06037572301,Long Beach,9.71668161,5723012,0.1958,BG 2,43000,43000,Long Beach,Long Beach,City of Long Beach,183,736454.1484,5295.379544,530226.5625,2357156.25,5456868.75,1191853.125,3549009.375,43.1961324,65.03746998,21.84133758,1,IN,0.00014108
49,211,60371065202,6037,106520,6037106520,06037106520,Sylmar,15.77326922,1065202,0.4396,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Sylmar,211,1672882.004,7309.92939,1932932.813,1941300,12254484.38,3806114.063,5747414.063,15.8415478,46.90049688,31.05894908,1,IN,0.43961512
50,220,60376201023,6037,620102,6037620102,06037620102,El Segundo,20.58519817,6201023,0.147,BG 3,22412,22412,El Segundo,El Segundo,City of El Segundo,220,554168.2305,3771.070274,843806.25,985162.5,4099092.188,682692.1875,1667854.688,24.03367514,40.68839175,16.65471661,1,IN,2.90E-06
51,221,60376200011,6037,620001,6037620001,06037620001,El Segundo,16.92872427,6200011,0.1624,BG 1,22412,22412,El Segundo,El Segundo,City of El Segundo,221,612544.3398,3774.504465,766560.9375,847532.8125,4528167.188,932062.5,1779595.313,18.71690636,39.30056552,20.58365916,1,IN,0.00421732
52,229,60372970002,6037,297000,6037297000,06037297000,San Pedro,28.51805955,2970002,0.1107,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,229,415647.0039,3065.043461,880256.25,689428.125,3086662.5,456243.75,1145671.875,22.33571455,37.11684951,14.78113496,1,IN,0.1105243
53,230,60372973003,6037,297300,6037297300,06037297300,San Pedro,13.70748739,2973003,0.0819,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,230,307526.7969,2218.778158,313031.25,549182.8125,2283651.563,425067.1875,974250,24.04845036,42.6619374,18.61348703,1,IN,0.08192109
54,258,60376201013,6037,620101,6037620101,06037620101,El Segundo,17.33947575,6201013,0.1925,BG 3,22412,22412,El Segundo,El Segundo,City of El Segundo,258,726149.5703,5152.294197,930501.5625,1856095.313,5366376.563,812517.1875,2668612.5,34.58749663,49.72838691,15.14089028,1,IN,0.00745197
55,260,60377032003,6037,703200,6037703200,06037703200,View Park/Windsor Hills,16.89126084,7032003,0.0907,BG 3,82667,99037,View Park-Windsor Hills,Unincorporated,LA County - View Park/Windsor Hills,260,342742.6094,2727.538936,427275,701507.8125,2529562.5,398193.75,1099701.563,27.73237714,43.47398266,15.74160551,1,IN,2.48E-06
56,261,60377006005,6037,700600,6037700600,06037700600,Beverly Hills,50.93691864,7006005,0.5087,BG 5,6308,6308,Beverly Hills,Beverly Hills,City of Beverly Hills,261,1925824.879,7279.620478,7223259.375,2280726.563,14180793.75,1760512.5,4041239.063,16.08320805,28.49797503,12.41476698,1,IN,8.96E-05
57,264,60377032001,6037,703200,6037703200,06037703200,View Park/Windsor Hills,21.31082823,7032001,0.1253,BG 1,82667,99037,View Park-Windsor Hills,Unincorporated,LA County - View Park/Windsor Hills,264,473273.4961,3477.860234,743934.375,880495.3125,3490875,405407.8125,1285903.125,25.22276829,36.83612633,11.61335804,1,IN,0.00126996
58,265,60377032006,6037,703200,6037703200,06037703200,View Park/Windsor Hills,12.96082032,7032006,0.1425,BG 6,82667,99037,View Park-Windsor Hills,Unincorporated,LA County - View Park/Windsor Hills,265,538379.3477,3514.265985,515109.375,931078.125,3974357.813,824442.1875,1755520.313,23.42713386,44.17116916,20.7440353,1,IN,5.59E-05
59,267,60372974002,6037,297400,6037297400,06037297400,San Pedro,19.35658994,2974002,0.4587,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,267,1721602.727,5850.525392,2461879.688,4369500,12718560.94,1520746.875,5890246.875,34.35530184,46.31221177,11.95690992,1,IN,0.45321542
60,270,60372970004,6037,297000,6037297000,06037297000,San Pedro,24.94210028,2970004,0.1194,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,270,448043.2813,2706.63349,829926.5625,732867.1875,3327412.5,513984.375,1246851.563,22.02513778,37.4721067,15.44696893,1,IN,0.1193344
61,271,60376707022,6037,670702,6037670702,06037670702,Rancho Palos Verdes,44.30619219,6707022,0.4047,BG 2,59514,59514,Rancho Palos Verdes,Rancho Palos Verdes,City of Rancho Palos Verdes,271,1520189.461,6357.023695,4999387.5,3207065.625,11283721.88,1021612.5,4228678.125,28.42205489,37.47591594,9.05386105,1,IN,2.55E-06
62,272,60376701003,6037,670100,6037670100,06037670100,Lomita,25.62850387,6701003,0.2673,BG 3,42468,42468,Lomita,Lomita,City of Lomita,272,1004571.199,5815.34736,1909940.625,1684462.5,7452407.813,1071717.188,2756179.688,22.60292972,36.98374749,14.38081778,1,IN,1.65E-05
63,301,60371066042,6037,106604,6037106604,06037106604,Sylmar,22.10637618,1066042,0.2462,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Sylmar,301,936670.2031,5290.971387,1517062.5,1344642.188,6862556.25,1576617.188,2921259.375,19.59389677,42.5680937,22.97419693,1,IN,0.24618379
64,303,60377031005,6037,703100,6037703100,06037703100,View Park/Windsor Hills,26.2142941,7031005,0.1333,BG 5,82667,99037,View Park-Windsor Hills,Unincorporated,LA County - View Park/Windsor Hills,303,503573.4102,3329.996226,973968.75,857728.125,3715410.938,542812.5,1400540.625,23.0856866,37.69544335,14.60975674,1,IN,1.21E-06
65,304,60377032004,6037,703200,6037703200,06037703200,View Park/Windsor Hills,22.29121355,7032004,0.1326,BG 4,82667,99037,View Park-Windsor Hills,Unincorporated,LA County - View Park/Windsor Hills,304,500723.4414,3540.71646,824414.0625,944142.1875,3698381.25,465131.25,1409273.438,25.52852515,38.10514228,12.57661713,1,IN,1.40E-06
66,305,60377031003,6037,703100,6037703100,06037703100,View Park/Windsor Hills,24.12825735,7031003,0.1444,BG 3,82667,99037,View Park-Windsor Hills,Unincorporated,LA County - View Park/Windsor Hills,305,545421.5313,4222.296584,971212.5,1058315.625,4025207.813,509203.125,1567518.75,26.29219842,38.9425546,12.65035617,1,IN,8.58E-06
67,307,60377029014,6037,702901,6037702901,06037702901,Del Rey,9.87425421,7029014,0.8425,BG 4,45806,99037,Marina del Rey,Unincorporated,LA County - Del Rey,307,3181308.59,9949.325077,1453654.688,6748059.375,14721665.63,4042195.313,10790254.69,45.83760796,73.29506703,27.45745906,1,IN,0.00233941
68,308,60372912103,6037,291210,6037291210,06037291210,Harbor Gateway,11.06801527,2912103,0.0905,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,308,341001.3203,2385.23895,279295.3125,395198.4375,2523445.313,574875,970073.4375,15.66106606,38.44241968,22.78135362,1,IN,0.09046473
69,309,60372911301,6037,291130,6037291130,06037291130,Harbor Gateway,8.62661666,2911301,0.2999,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,309,1130432.742,5850.781189,721307.8125,1302229.688,8361421.875,2608818.75,3911048.438,15.57426126,46.77492053,31.20065928,1,IN,0.29990154
70,310,60371253101,6037,125310,6037125310,06037125310,North Hollywood,21.1419227,1253101,0.0872,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - North Hollywood,310,330771.3164,2393.898864,514518.75,307420.3125,2433642.188,567295.3125,874715.625,12.63210812,35.94265539,23.31054727,1,IN,0.08721429
71,311,60372911303,6037,291130,6037291130,06037291130,Harbor Gateway,14.85604579,2911303,0.0704,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,311,265410.4297,2068.932631,291628.125,488292.1875,1963026.563,349635.9375,837928.125,24.87445646,42.68552148,17.81106502,1,IN,0.07041419
72,312,60372911201,6037,291120,6037291120,06037291120,Harbor Gateway,7.58385048,2911201,0.2707,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,312,1020687.602,4037.901866,572442.1875,1237007.813,7548173.438,2021976.563,3258984.375,16.38817421,43.17580143,26.78762722,1,IN,0.27071906
73,313,60372316005,6037,231600,6037231600,06037231600,Vermont Square,13.14294863,2316005,0.0599,BG 5,44000,44000,Los Angeles,Los Angeles,LA City - Vermont Square,313,226179.125,1905.083488,219332.8125,306759.375,1668825,334898.4375,641657.8125,18.38175812,38.44967642,20.0679183,1,IN,0.05985687
74,314,60371253103,6037,125310,6037125310,06037125310,North Hollywood,7.52251581,1253103,0.1287,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - North Hollywood,314,488207.2227,2946.628677,269915.625,442251.5625,3588103.125,1501368.75,1943620.313,12.32549754,54.16846297,41.84296542,1,IN,0.12871441
75,315,60372911101,6037,291110,6037291110,06037291110,Harbor Gateway,11.41482458,2911101,0.1328,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,315,500832.0508,2971.108696,422704.6875,967992.1875,3703120.313,725020.3125,1693012.5,26.13990651,45.71853888,19.57863238,1,IN,0.13281723
76,316,60372772001,6037,277200,6037277200,06037277200,Westchester,12.63694346,2772001,0.1468,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,316,553894.7266,3080.296174,517120.3125,534248.4375,4092131.25,1496995.313,2031243.75,13.05550592,49.63779571,36.58228979,1,IN,0.14676563
77,317,60371253201,6037,125320,6037125320,06037125320,North Hollywood,10.34713301,1253201,0.1441,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - North Hollywood,317,546496.4922,3266.260939,415687.5,231567.1875,4017417.188,1326810.938,1558378.125,5.76408117,38.79054756,33.0264664,1,IN,0.14409445
78,318,60376707011,6037,670701,6037670701,06037670701,Rancho Palos Verdes,17.93837507,6707011,0.5177,BG 1,59514,59514,Rancho Palos Verdes,Rancho Palos Verdes,City of Rancho Palos Verdes,318,1945160.805,10862.32816,2587795.313,5669226.563,14426029.69,1985934.375,7655160.938,39.2985921,53.06491878,13.76632669,1,IN,0.00134472
79,320,60372933011,6037,293301,6037293301,06037293301,Harbor City,10.362297,2933011,0.3263,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Harbor City,320,1227131.391,5251.889382,942581.25,1828167.188,9096257.813,2276746.875,4104914.063,20.09801421,45.1275035,25.02948929,1,IN,0.32198334
80,357,60375437031,6037,543703,6037543703,06037543703,Carson,7.82488167,5437031,0.3999,BG 1,11530,11530,Carson,Carson,City of Carson,357,1503867.137,4991.344275,872465.625,2267606.25,11149889.06,3232701.563,5500307.813,20.33747813,49.33060573,28.99312759,1,IN,0.00047158
81,359,60372911102,6037,291110,6037291110,06037291110,Harbor Gateway,14.60587464,2911102,0.1418,BG 2,44000,44000,Los Angeles,Los Angeles,LA City - Harbor Gateway,359,534844.2578,3246.818493,577659.375,969103.125,3954979.688,619045.3125,1588148.438,24.50336542,40.1556661,15.65230068,1,IN,0.14183514
82,360,60372771003,6037,277100,6037277100,06037277100,Westchester,19.79565536,2771003,0.1633,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,360,616336.0352,3662.821009,900745.3125,1013400,4550217.188,858923.4375,1872323.438,22.27146438,41.14800152,18.87653714,1,IN,0.16328387
83,361,60372771001,6037,277100,6037277100,06037277100,Westchester,19.27868938,2771001,0.1927,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,361,727365.125,5509.429306,1035098.438,916579.6875,5369132.813,1340282.813,2256862.5,17.07127984,42.0340226,24.96274276,1,IN,0.19266484
84,362,60372770004,6037,277000,6037277000,06037277000,Westchester,24.29865526,2770004,0.0896,BG 4,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,362,338443.2539,2556.359353,607303.125,628382.8125,2499328.125,285834.375,914217.1875,25.14206943,36.57851798,11.43644855,1,IN,0.08963802
85,363,60372770003,6037,277000,6037277000,06037277000,Westchester,16.6682175,2770003,0.3253,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,363,1228198.559,6753.363278,1511423.438,3414304.688,9067696.875,1646803.125,5061107.813,37.65349388,55.81470005,18.16120618,1,IN,0.32527627
86,364,60372770001,6037,277000,6037277000,06037277000,Westchester,18.898248,2770001,0.2089,BG 1,44000,44000,Los Angeles,Los Angeles,LA City - Westchester,364,788709.9805,4722.272411,1100798.438,1325868.75,5824870.313,1096551.563,2422420.313,22.76220206,41.58754071,18.82533865,1,IN,0.20893228
87,365,60372965003,6037,296500,6037296500,06037296500,San Pedro,21.85918286,2965003,0.116,BG 3,44000,44000,Los Angeles,Los Angeles,LA City - San Pedro,365,435660.1641,3042.606041,706921.875,949148.4375,3233981.25,435459.375,1384607.813,29.34922512,42.81434262,13.46511749,1,IN,0.11598927
